user_screen_name,user_description,text,clean_text,type,pollen_phenology,climate_change,belief,sentiment,causation,direction,science
Pattieszv,"I&#39;m a super sweet person, unless im pissed off. haha. No one really understands what im all about, so thats why you should get to know me. (:","Pollen Rain, Vegetation and Climate in Lowland East Java, Indonesia (Modern Quarternary Research in Southeast As... http://t.co/UerwWzmj",Pollen Rain Vegetation and Climate in Lowland East Java Indonesia Modern Quarternary Research in Southeast As,organic,,,,,,,
carbonmeme,Climate change and other energy/environment news,2000 Years of Climate Reconstructed from Pollen - Skeptical Science http://t.co/SLxalBRS,Years of Climate Reconstructed from Pollen Skeptical Science,organic,,,,,,,
greeneconpost,"A blog portal that provides site that provides green business and career information, news and commentary. Cover the impact of the environment,  on the economy",Fossilized pollen unlocks secrets of ancient royal garden http://t.co/qfDmwxTp #climate #green,Fossilized pollen unlocks secrets of ancient royal garden climate green,organic,,,,,,,
glitchfactor,"Recording Engineer, Musician for Glitch Factor and Murder Happens",Its february....I walk outside to a faceful of gnats and pollen all over my car.....no climate change here....look the other way,Its february I walk outside to a faceful of gnats and pollen all over my car no climate change here look the other way,organic,,,,,,,
hypusine,"Interested in fungal pathogens, rock climbing, translational control, synthetic biology, microbial communication, polyketides, natural products and phylogeny",Pollen counts appear to be higher and occurring earlier in the year. Global warming faulted: http://t.co/WY7Rd0Oz?,Pollen counts appear to be higher and occurring earlier in the year Global warming faulted,organic,,,,,,,
marykmac7,"Love everything Michael Jackson
http://love4mjj.tumblr.com/",@skipabeat123 @actress58 @MJacksoners @ingridbkue @MVLittleBird @AustinBrownJam @Michael_love777  pollen is heavier in warmer climate,MJacksoners MVLittleBird AustinBrownJam Michael love pollen is heavier in warmer climate,reply,,,,,,,
EarthWiseRadio,Earth Wise: A Look At Our Changing Environment.,"If you are allergic to pollen, you should worry about climate change 
http://t.co/U8gZf1Yi http://t.co/Dud4L3Yn",If you are allergic to pollen you should worry about climate change,organic,,,,,,,
CameronRDirect,"Junior at U of Iowa. 
Runner and pushup aficionado. 
Interned at an advertising firm, Arnold Worldwide, in the summer of 2011",My pollen guy told me the counts are good to go. Galen Rupp warming up is evidence of that #oxy2012 #peterpanswag,My pollen guy told me the counts are good to go Galen Rupp warming up is evidence of that oxy peterpanswag,organic,,,,,,,
kcrossizballin,"Reporter for several national sports entities - ESPN Radio, Lindy's Sports Annuals, www.Collegechalktalk.com, www.lindyssports.com, Yahoo! Sports Radio.",7 mile run with a temp if 88 degrees and 46% humidity. Pollen and air quality are terrible! Proof Global Warming is a bitch!!!,mile run with a temp if degrees and humidity Pollen and air quality are terrible Proof Global Warming is a bitch,organic,,,,,,,
caffien,"Happy, lucky, loved up chick.","Need original house warming gift ideas, no food, no pollen and special needs child who throws anything not bolted down? a bean bag?",Need original house warming gift ideas no food no pollen and special needs child who throws anything not bolted down a bean bag,organic,,,,,,,
